                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.74441,                0.43921,                  1.008,                0.99559,                0.96774,                0.98249,                 0.8013,                0.76278,                0.37987,                 1.0058,              0.0008318,              0.0008318,              0.0008318
                     61,                0.72961,                 0.4466,                 1.0104,                0.99995,                0.98387,                 0.9875,                0.81276,                0.74906,                0.36564,                 0.9867,               0.000812,               0.000812,               0.000812
                     62,                 0.7313,                0.43542,                0.99897,                0.99418,                0.96774,                0.99065,                0.81614,                0.76238,                0.37018,                0.98946,              0.0007922,              0.0007922,              0.0007922
                     63,                0.74507,                0.44713,                 1.0073,                0.99442,                0.95747,                0.98777,                 0.8228,                0.74445,                0.38284,                0.98493,              0.0007724,              0.0007724,              0.0007724
                     64,                0.73212,                0.44807,                 1.0179,                0.99943,                0.97849,                0.98643,                0.80615,                0.74907,                0.37264,                0.98685,              0.0007526,              0.0007526,              0.0007526
                     65,                0.73778,                0.44461,                 1.0041,                0.98135,                0.94624,                0.96989,                0.77232,                0.83426,                0.42945,                 1.0373,              0.0007328,              0.0007328,              0.0007328
                     66,                0.72322,                0.43388,                0.99528,                0.99591,                0.95699,                0.98598,                0.79147,                 0.7847,                0.37973,                0.99951,               0.000713,               0.000713,               0.000713
                     67,                0.70715,                0.42079,                0.99139,                0.99682,                0.95699,                0.97895,                0.79366,                0.78576,                0.39557,                 1.0062,              0.0006932,              0.0006932,              0.0006932
                     68,                0.72055,                0.42111,                0.99338,                0.98064,                0.94624,                0.96235,                0.77458,                0.83962,                0.43459,                 1.0456,              0.0006734,              0.0006734,              0.0006734
                     69,                0.72457,                0.42106,                0.99592,                0.98318,                0.94274,                0.97177,                0.77001,                0.83599,                0.40995,                 1.0409,              0.0006536,              0.0006536,              0.0006536
                     70,                0.71292,                0.41772,                0.99365,                0.98858,                0.93069,                0.96957,                0.76918,                0.80639,                 0.4214,                 1.0245,              0.0006338,              0.0006338,              0.0006338
                     71,                0.73133,                0.41887,                 1.0054,                0.98272,                0.97312,                 0.9832,                0.80417,                0.75225,                0.38584,                0.99196,               0.000614,               0.000614,               0.000614
                     72,                 0.7311,                0.42283,                  1.003,                0.97285,                0.96329,                0.97788,                0.78529,                 0.7928,                0.41014,                 1.0223,              0.0005942,              0.0005942,              0.0005942
                     73,                0.70495,                0.40995,                 1.0048,                0.99993,                0.93548,                0.95851,                0.77372,                0.82146,                0.43733,                 1.0349,              0.0005744,              0.0005744,              0.0005744
                     74,                 0.7075,                 0.4011,                0.99322,                0.97766,                0.94134,                0.95942,                0.78331,                0.80139,                0.43245,                 1.0312,              0.0005546,              0.0005546,              0.0005546
                     75,                0.70347,                0.40899,                0.99201,                0.98792,                0.95161,                0.96071,                0.79403,                0.78287,                0.41944,                 1.0216,              0.0005348,              0.0005348,              0.0005348
                     76,                0.65771,                0.38437,                 0.9685,                0.98764,                0.97849,                0.98697,                0.80289,                0.76416,                0.36067,                0.99386,               0.000515,               0.000515,               0.000515
                     77,                0.70322,                 0.4042,                0.99193,                 0.9787,                0.98794,                0.98749,                0.80218,                0.76224,                 0.3553,                0.99596,              0.0004952,              0.0004952,              0.0004952
                     78,                0.69176,                0.39064,                0.97785,                0.99372,                0.97849,                0.98873,                0.81261,                 0.7602,                0.35824,                0.99088,              0.0004754,              0.0004754,              0.0004754
                     79,                0.66254,                0.38616,                0.96789,                0.99758,                0.97312,                0.98762,                0.80894,                 0.7492,                0.34262,                0.98479,              0.0004556,              0.0004556,              0.0004556
                     80,                0.66471,                0.38304,                0.96238,                0.98441,                0.97849,                0.98635,                0.80711,                 0.7567,                0.35699,                0.99072,              0.0004358,              0.0004358,              0.0004358
                     81,                0.67744,                0.37952,                0.98215,                0.98238,                0.97849,                0.98723,                0.81723,                0.73317,                0.34536,                0.98111,               0.000416,               0.000416,               0.000416
                     82,                0.66403,                0.38245,                0.97245,                0.99453,                0.97786,                0.98646,                0.80053,                0.76142,                0.35856,                 1.0052,              0.0003962,              0.0003962,              0.0003962
                     83,                0.66149,                0.37314,                0.96609,                0.99274,                0.97849,                0.98669,                0.80458,                0.74199,                 0.3431,                0.97886,              0.0003764,              0.0003764,              0.0003764
                     84,                0.66103,                0.38102,                0.97633,                0.99453,                0.97784,                0.98699,                0.80714,                0.75295,                0.34486,                0.98238,              0.0003566,              0.0003566,              0.0003566
                     85,                0.66416,                0.37467,                0.96835,                0.99789,                0.97849,                0.98651,                0.81161,                0.74384,                0.35056,                0.99397,              0.0003368,              0.0003368,              0.0003368
                     86,                 0.6613,                0.37135,                0.97297,                 0.9994,                0.98387,                0.98816,                0.81606,                0.73102,                0.32867,                0.98583,               0.000317,               0.000317,               0.000317
                     87,                0.63473,                0.37442,                0.97304,                0.99458,                0.98721,                0.98842,                0.81239,                0.75747,                0.33304,                0.99868,              0.0002972,              0.0002972,              0.0002972
                     88,                 0.6578,                0.37065,                0.97696,                0.99456,                0.98277,                0.98792,                0.80756,                0.75427,                0.33515,                 1.0031,              0.0002774,              0.0002774,              0.0002774
                     89,                0.64529,                0.35582,                0.97675,                0.99267,                0.97849,                0.98808,                0.81666,                0.75539,                0.33351,                0.99773,              0.0002576,              0.0002576,              0.0002576
                     90,                0.65534,                0.36418,                 0.9727,                0.98118,                0.97312,                0.98736,                0.81387,                0.74511,                0.33371,                0.98823,              0.0002378,              0.0002378,              0.0002378
                     91,                0.57194,                0.28626,                 0.8961,                0.98913,                0.97805,                0.98799,                  0.813,                0.76494,                0.33972,                0.99484,               0.000218,               0.000218,               0.000218
                     92,                0.56895,                0.28188,                0.90055,                0.98539,                0.97849,                0.98615,                0.81004,                0.77972,                0.33997,                 1.0082,              0.0001982,              0.0001982,              0.0001982
                     93,                0.56375,                0.27811,                0.90233,                0.98923,                0.98729,                0.98495,                0.81556,                0.74662,                0.33424,                0.98782,              0.0001784,              0.0001784,              0.0001784
                     94,                0.56105,                0.27778,                0.88714,                0.98922,                 0.9868,                0.98415,                0.81532,                0.74727,                0.33181,                0.98734,              0.0001586,              0.0001586,              0.0001586
                     95,                0.54848,                 0.2698,                0.88525,                0.98272,                0.98387,                0.98441,                0.81281,                0.75287,                0.32976,                 0.9951,              0.0001388,              0.0001388,              0.0001388
                     96,                0.55988,                 0.2772,                0.88592,                0.98811,                0.98387,                0.98523,                0.81621,                0.75027,                0.32234,                0.98941,               0.000119,               0.000119,               0.000119
                     97,                0.55372,                0.26856,                0.88338,                0.98377,                0.98387,                0.98618,                0.81928,                 0.7476,                0.32422,                 0.9922,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.54779,                0.26285,                0.88936,                0.98599,                0.97312,                0.98607,                0.81525,                0.75296,                0.32128,                0.99525,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.54004,                0.26334,                0.87664,                0.97999,                0.98387,                0.98582,                0.81641,                0.74831,                0.32094,                0.99348,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.53586,                0.26198,                0.87731,                0.98723,                0.97849,                 0.9857,                0.81749,                0.74825,                0.32068,                0.99096,               3.98e-05,               3.98e-05,               3.98e-05
